"State","E.V.","poll_state","chance","probability_win","party","prob_dem_win","prob_rep_win","date"
"Colorado
							Colo.",9,"PEC","91%
								
									 Dem.",0.91,"Dem",0.91,0.09,2016-11-05
"New Hampshire
							N.H.",4,"PEC","69%
								
									 Dem.",0.69,"Dem",0.69,0.31,2016-11-05
"North Carolina
							N.C.",15,"PEC","74%
								
									 Dem.",0.74,"Dem",0.74,0.26,2016-11-05
"Florida
							Fla.",29,"PEC","74%
								
									 Dem.",0.74,"Dem",0.74,0.26,2016-11-05
"Nevada
							Nev.",6,"PEC","50%
								
									 Dem.",0.5,"Dem",0.5,0.5,2016-11-05
"Ohio
							Ohio",18,"PEC","95%
								
									 Rep.",0.95,"Rep",0.05,0.95,2016-11-05
"Iowa
							Iowa",6,"PEC","69%
								
									 Rep.",0.69,"Rep",0.31,0.69,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"PEC","79%
								
									 Dem.",0.79,"Dem",0.79,0.21,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"PEC","96%
								
									 Rep.",0.96,"Rep",0.04,0.96,2016-11-05
"Utah
							Utah",6,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arizona
							Ariz.",11,"PEC","74%
								
									 Rep.",0.74,"Rep",0.26,0.74,2016-11-05
"Georgia
							Ga.",16,"PEC","93%
								
									 Rep.",0.93,"Rep",0.07,0.93,2016-11-05
"South Carolina
							S.C.",9,"PEC","95%
								
									 Rep.",0.95,"Rep",0.05,0.95,2016-11-05
"Mississippi
							Miss.",6,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Alaska
							Alaska",3,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Texas
							Tex.",38,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Missouri
							Mo.",10,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Indiana
							Ind.",11,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Louisiana
							La.",8,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Tennessee
							Tenn.",11,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Kansas
							Kan.",6,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Montana
							Mont.",3,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"West Virginia
							W.Va.",5,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Idaho
							Idaho",4,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arkansas
							Ark.",6,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Oklahoma
							Okla.",7,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"North Dakota
							N.D.",3,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Alabama
							Ala.",9,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska
							Neb.",2,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"South Dakota
							S.D.",3,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Kentucky
							Ky.",8,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Wyoming
							Wyo.",3,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska (CD 3)*
							Neb.-3*",1,"PEC",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"D.C.
							D.C.",3,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"California
							Calif.",55,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Massachusetts
							Mass.",11,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Hawaii
							Hawaii",4,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New York
							N.Y.",29,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Vermont
							Vt.",3,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Illinois
							Ill.",20,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Rhode Island
							R.I.",4,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maryland
							Md.",10,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Delaware
							Del.",3,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"DK","N.A.",NA,"",NA,NA,2016-11-05
"Connecticut
							Conn.",7,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New Jersey
							N.J.",14,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Washington
							Wash.",12,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Oregon
							Ore.",7,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Virginia
							Va.",13,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New Mexico
							N.M.",5,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Wisconsin
							Wis.",10,"DK","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Michigan
							Mich.",16,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Minnesota
							Minn.",10,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Pennsylvania
							Pa.",20,"DK","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maine
							Me.",2,"DK",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Colorado
							Colo.",9,"DK","98%
								
									 Dem.",0.98,"Dem",0.98,0.02,2016-11-05
"New Hampshire
							N.H.",4,"DK","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"North Carolina
							N.C.",15,"DK","71%
								
									 Dem.",0.71,"Dem",0.71,0.29,2016-11-05
"Florida
							Fla.",29,"DK","79%
								
									 Dem.",0.79,"Dem",0.79,0.21,2016-11-05
"Nevada
							Nev.",6,"DK","68%
								
									 Dem.",0.68,"Dem",0.68,0.32,2016-11-05
"Ohio
							Ohio",18,"DK","76%
								
									 Rep.",0.76,"Rep",0.24,0.76,2016-11-05
"Iowa
							Iowa",6,"DK","88%
								
									 Rep.",0.88,"Rep",0.12,0.88,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"DK","N.A.",NA,"",NA,NA,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"DK","N.A.",NA,"",NA,NA,2016-11-05
"Utah
							Utah",6,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arizona
							Ariz.",11,"DK","81%
								
									 Rep.",0.81,"Rep",0.19,0.81,2016-11-05
"Georgia
							Ga.",16,"DK","93%
								
									 Rep.",0.93,"Rep",0.07,0.93,2016-11-05
"South Carolina
							S.C.",9,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Mississippi
							Miss.",6,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Alaska
							Alaska",3,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Texas
							Tex.",38,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Missouri
							Mo.",10,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Indiana
							Ind.",11,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Louisiana
							La.",8,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Tennessee
							Tenn.",11,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Kansas
							Kan.",6,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"DK","N.A.",NA,"",NA,NA,2016-11-05
"Montana
							Mont.",3,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"West Virginia
							W.Va.",5,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Idaho
							Idaho",4,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arkansas
							Ark.",6,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Oklahoma
							Okla.",7,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"North Dakota
							N.D.",3,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Alabama
							Ala.",9,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska
							Neb.",2,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"South Dakota
							S.D.",3,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Kentucky
							Ky.",8,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Wyoming
							Wyo.",3,"DK",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska (CD 3)*
							Neb.-3*",1,"DK","N.A.",NA,"",NA,NA,2016-11-05
"D.C.
							D.C.",3,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"California
							Calif.",55,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Massachusetts
							Mass.",11,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Hawaii
							Hawaii",4,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New York
							N.Y.",29,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Vermont
							Vt.",3,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Illinois
							Ill.",20,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Rhode Island
							R.I.",4,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maryland
							Md.",10,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Delaware
							Del.",3,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Connecticut
							Conn.",7,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Jersey
							N.J.",14,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Washington
							Wash.",12,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Oregon
							Ore.",7,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Virginia
							Va.",13,"Cook","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Mexico
							N.M.",5,"Cook","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Wisconsin
							Wis.",10,"Cook","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Michigan
							Mich.",16,"Cook","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Minnesota
							Minn.",10,"Cook","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Pennsylvania
							Pa.",20,"Cook","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maine
							Me.",2,"Cook","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Colorado
							Colo.",9,"Cook","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Hampshire
							N.H.",4,"Cook","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"North Carolina
							N.C.",15,"Cook","Tossup",NA,"",NA,NA,2016-11-05
"Florida
							Fla.",29,"Cook","Tossup",NA,"",NA,NA,2016-11-05
"Nevada
							Nev.",6,"Cook","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Ohio
							Ohio",18,"Cook","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Iowa
							Iowa",6,"Cook","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"Cook","Tossup",NA,"",NA,NA,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"Cook","Tossup",NA,"",NA,NA,2016-11-05
"Utah
							Utah",6,"Cook","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Arizona
							Ariz.",11,"Cook","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Georgia
							Ga.",16,"Cook","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"South Carolina
							S.C.",9,"Cook","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Mississippi
							Miss.",6,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Alaska
							Alaska",3,"Cook","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Texas
							Tex.",38,"Cook","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Missouri
							Mo.",10,"Cook","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Indiana
							Ind.",11,"Cook","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Louisiana
							La.",8,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Tennessee
							Tenn.",11,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Kansas
							Kan.",6,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Montana
							Mont.",3,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"West Virginia
							W.Va.",5,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Idaho
							Idaho",4,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Arkansas
							Ark.",6,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Oklahoma
							Okla.",7,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"North Dakota
							N.D.",3,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Alabama
							Ala.",9,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska
							Neb.",2,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"South Dakota
							S.D.",3,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Kentucky
							Ky.",8,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Wyoming
							Wyo.",3,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska (CD 3)*
							Neb.-3*",1,"Cook","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"D.C.
							D.C.",3,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"California
							Calif.",55,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Massachusetts
							Mass.",11,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Hawaii
							Hawaii",4,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New York
							N.Y.",29,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Vermont
							Vt.",3,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Illinois
							Ill.",20,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Rhode Island
							R.I.",4,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maryland
							Md.",10,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Delaware
							Del.",3,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Connecticut
							Conn.",7,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Jersey
							N.J.",14,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Washington
							Wash.",12,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Oregon
							Ore.",7,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Virginia
							Va.",13,"Roth.1","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Mexico
							N.M.",5,"Roth.1","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Wisconsin
							Wis.",10,"Roth.1","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Michigan
							Mich.",16,"Roth.1","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Minnesota
							Minn.",10,"Roth.1","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Pennsylvania
							Pa.",20,"Roth.1","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maine
							Me.",2,"Roth.1","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Colorado
							Colo.",9,"Roth.1","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Hampshire
							N.H.",4,"Roth.1","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"North Carolina
							N.C.",15,"Roth.1","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Florida
							Fla.",29,"Roth.1","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Nevada
							Nev.",6,"Roth.1","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Ohio
							Ohio",18,"Roth.1","Tossup",NA,"",NA,NA,2016-11-05
"Iowa
							Iowa",6,"Roth.1","Tossup",NA,"",NA,NA,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"Roth.1","Tossup",NA,"",NA,NA,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"Roth.1","Tossup",NA,"",NA,NA,2016-11-05
"Utah
							Utah",6,"Roth.1","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Arizona
							Ariz.",11,"Roth.1","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Georgia
							Ga.",16,"Roth.1","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"South Carolina
							S.C.",9,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Mississippi
							Miss.",6,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Alaska
							Alaska",3,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Texas
							Tex.",38,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Missouri
							Mo.",10,"Roth.1","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Indiana
							Ind.",11,"Roth.1","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Louisiana
							La.",8,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Tennessee
							Tenn.",11,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Kansas
							Kan.",6,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Montana
							Mont.",3,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"West Virginia
							W.Va.",5,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Idaho
							Idaho",4,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Arkansas
							Ark.",6,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Oklahoma
							Okla.",7,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"North Dakota
							N.D.",3,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Alabama
							Ala.",9,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska
							Neb.",2,"Roth.1","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"South Dakota
							S.D.",3,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Kentucky
							Ky.",8,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Wyoming
							Wyo.",3,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska (CD 3)*
							Neb.-3*",1,"Roth.1","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"D.C.
							D.C.",3,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"California
							Calif.",55,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Massachusetts
							Mass.",11,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Hawaii
							Hawaii",4,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New York
							N.Y.",29,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Vermont
							Vt.",3,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Illinois
							Ill.",20,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Rhode Island
							R.I.",4,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maryland
							Md.",10,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Delaware
							Del.",3,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Connecticut
							Conn.",7,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Jersey
							N.J.",14,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Washington
							Wash.",12,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Oregon
							Ore.",7,"Sabato","Solid
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Virginia
							Va.",13,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Mexico
							N.M.",5,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Wisconsin
							Wis.",10,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Michigan
							Mich.",16,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Minnesota
							Minn.",10,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Pennsylvania
							Pa.",20,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Maine
							Me.",2,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Colorado
							Colo.",9,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"New Hampshire
							N.H.",4,"Sabato","Likely
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"North Carolina
							N.C.",15,"Sabato","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Florida
							Fla.",29,"Sabato","Tossup",NA,"",NA,NA,2016-11-05
"Nevada
							Nev.",6,"Sabato","Lean
								
									 Dem.",NA,"Dem",NA,NA,2016-11-05
"Ohio
							Ohio",18,"Sabato","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Iowa
							Iowa",6,"Sabato","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"Sabato","Tossup",NA,"",NA,NA,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"Sabato","Tossup",NA,"",NA,NA,2016-11-05
"Utah
							Utah",6,"Sabato","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Arizona
							Ariz.",11,"Sabato","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Georgia
							Ga.",16,"Sabato","Lean
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"South Carolina
							S.C.",9,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Mississippi
							Miss.",6,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Alaska
							Alaska",3,"Sabato","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Texas
							Tex.",38,"Sabato","Likely
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Missouri
							Mo.",10,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Indiana
							Ind.",11,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Louisiana
							La.",8,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Tennessee
							Tenn.",11,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Kansas
							Kan.",6,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Montana
							Mont.",3,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"West Virginia
							W.Va.",5,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Idaho
							Idaho",4,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Arkansas
							Ark.",6,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Oklahoma
							Okla.",7,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"North Dakota
							N.D.",3,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Alabama
							Ala.",9,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
"Nebraska
							Neb.",2,"Sabato","Solid
								
									 Rep.",NA,"Rep",NA,NA,2016-11-05
